name,subtitle,price,URL
Paris Saint-Germain,Мужская парка с пуховым наполнителем,21 499 ₽,https://www.nike.com/ru/t/%D0%BF%D0%B0%D1%80%D0%BA%D0%B0-%D1%81-%D0%BF%D1%83%D1%85%D0%BE%D0%B2%D1%8B%D0%BC-%D0%BD%D0%B0%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B5%D0%BC-paris-saint-germain-DvdbHk/CK9736-010
Jordan Sport DNA,Мужские брюки HBR,6 199 ₽,https://www.nike.com/ru/t/%D0%B1%D1%80%D1%8E%D0%BA%D0%B8-hbr-jordan-sport-dna-wtlj7j/CK9581-011
Jordan Delta,Мужская обувь,11 299 ₽,https://www.nike.com/ru/t/%D0%BA%D1%80%D0%BE%D1%81%D1%81%D0%BE%D0%B2%D0%BA%D0%B8-jordan-delta-GgsBzK/DB5768-007
Jordan Dri-FIT Air,Мужские шорты,2 799 ₽,https://www.nike.com/ru/t/%D1%88%D0%BE%D1%80%D1%82%D1%8B-jordan-dri-fit-air-1gb424/CD5064-010
Jordan Delta,Мужская обувь,11 299 ₽,https://www.nike.com/ru/t/%D0%BA%D1%80%D0%BE%D1%81%D1%81%D0%BE%D0%B2%D0%BA%D0%B8-jordan-delta-GgsBzK/DB5768-007
Paris Saint-Germain,Мужской жилет,9 299 ₽,https://www.nike.com/ru/t/%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9-%D0%B6%D0%B8%D0%BB%D0%B5%D1%82-paris-saint-germain-jNM05c/CV9956-010
Jordan Jumpman Air,Мужской жилет с пуховым наполнителем,8 499 ₽,https://www.nike.com/ru/t/%D0%BC%D1%83%D0%B6%D1%81%D0%BA%D0%BE%D0%B9-%D0%B6%D0%B8%D0%BB%D0%B5%D1%82-%D1%81-%D0%BF%D1%83%D1%85%D0%BE%D0%B2%D1%8B%D0%BC-%D0%BD%D0%B0%D0%BF%D0%BE%D0%BB%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D0%B5%D0%BC-jordan-jumpman-air-MdT205/CN4267-010
Jordan Air Therma,Мужская флисовая худи,4 499 ₽,https://www.nike.com/ru/t/%D1%84%D0%BB%D0%B8%D1%81%D0%BE%D0%B2%D0%B0%D1%8F-%D1%85%D1%83%D0%B4%D0%B8-jordan-air-therma-Qhrn6H/CK6789-010
Jordan Sport DNA,Мужская футболка с коротким рукавом,2 899 ₽,https://www.nike.com/ru/t/%D1%84%D1%83%D1%82%D0%B1%D0%BE%D0%BB%D0%BA%D0%B0-%D1%81-%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%B8%D0%BC-%D1%80%D1%83%D0%BA%D0%B0%D0%B2%D0%BE%D0%BC-jordan-sport-dna-Vhfc7r/CN3330-011
Jordan Jumpman Diamond,Мужские шорты,3 699 ₽,https://www.nike.com/ru/t/%D1%88%D0%BE%D1%80%D1%82%D1%8B-jordan-jumpman-diamond-LfzPZv/CV6022-010
Jordan Zoom '92,Мужская обувь,11 999 ₽,https://www.nike.com/ru/t/%D0%BA%D1%80%D0%BE%D1%81%D1%81%D0%BE%D0%B2%D0%BA%D0%B8-jordan-zoom-92-31zKhf/CK9183-002
Jordan Jumpman Air,Мужская флисовая худи,5 299 ₽,https://www.nike.com/ru/t/%D1%84%D0%BB%D0%B8%D1%81%D0%BE%D0%B2%D0%B0%D1%8F-%D1%85%D1%83%D0%B4%D0%B8-jordan-jumpman-air-PMwDLt/CK6684-010
Jordan Air,Мужская футболка с коротким рукавом для тренинга,2 199 ₽,https://www.nike.com/ru/t/%D1%84%D1%83%D1%82%D0%B1%D0%BE%D0%BB%D0%BA%D0%B0-%D1%81-%D0%BA%D0%BE%D1%80%D0%BE%D1%82%D0%BA%D0%B8%D0%BC-%D1%80%D1%83%D0%BA%D0%B0%D0%B2%D0%BE%D0%BC-%D0%B4%D0%BB%D1%8F-%D1%82%D1%80%D0%B5%D0%BD%D0%B8%D0%BD%D0%B3%D0%B0-jordan-air-pNjDHr/CU1022-010
